,mean_reward_100_steps,steps
286,-863.2306157248687,35226
287,-860.1900211962878,35305
288,-876.6181025350347,35578
289,-877.8042703220893,35659
290,-876.1427663027722,35755
291,-876.7873440062061,35841
292,-856.4799468636053,35917
293,-857.6216150543505,36054
294,-855.3684375329764,36150
295,-851.3222133805352,36231
296,-826.8663764315811,36323
297,-827.8953639872468,36452
298,-829.853681041803,36561
299,-827.1307539079738,36642
300,-832.7813536614366,36848
301,-856.017994333126,37171
302,-858.3953740960513,37243
303,-858.0417878636107,37328
304,-855.7120438753836,37413
305,-855.8038523959763,37493
306,-848.7523807207408,37625
307,-848.73662342092,37726
308,-848.2705666966517,37845
309,-853.3492020405038,38023
310,-861.3894510718537,38286
311,-859.718009349955,38381
312,-863.4515633932784,38563
313,-869.8695583810377,38717
314,-874.1089794119579,38891
315,-895.3122251317934,39187
316,-892.3656520498876,39289
317,-890.9390944072541,39398
318,-890.3600469150766,39495
319,-890.244520993947,39574
320,-901.873697715909,39778
321,-901.9894300615556,39872
322,-902.6142717998273,39947
323,-907.3430886908163,40089
324,-910.2988449128644,40233
325,-905.8053976699276,40392
326,-908.9129463330514,40511
327,-925.9806411483078,40817
328,-926.2154051177853,40895
329,-925.1070943641739,40998
330,-925.5050854241216,41124
331,-929.6792152372929,41320
332,-930.6085869672083,41413
333,-929.0529267622085,41561
334,-924.275607165667,41638
335,-923.710222250162,41730
336,-920.1606674697905,41806
337,-918.2165546888538,41891
338,-922.2665210571699,42043
339,-920.8030902759156,42169
340,-916.4893944183159,42245
341,-915.0406650040433,42324
342,-922.8692022457735,42525
343,-911.6610547328531,42639
344,-918.4888838988935,42837
345,-918.3501681116712,42919
346,-917.8345841844259,43019
347,-926.939047701844,43272
348,-924.8375460955081,43346
349,-924.5513332379045,43480
350,-918.5663819728522,43563
351,-924.0897214276193,43709
352,-928.7450401920265,43874
353,-934.0335175347337,44015
354,-934.2405037643798,44113
355,-936.4816146960328,44242
356,-939.0927910035598,44369
357,-899.7912435728109,44486
358,-897.8677525697052,44587
359,-901.2198243278809,44723
360,-907.0040226372604,44891
361,-907.4583684107615,44980
362,-909.0493175072712,45070
363,-904.4004458070274,45147
364,-881.3485330112418,45253
365,-880.9915142728931,45326
366,-874.9244976159639,45403
367,-879.395208785472,45539
368,-880.4248810912131,45644
369,-879.8189729262783,45725
370,-875.3400467746434,45802
371,-867.4266351144056,45907
372,-869.9340585295154,46045
373,-857.2441603040907,46139
374,-846.0498004374219,46221
375,-849.6341726937895,46350
376,-861.2014647137487,46555
377,-861.4266840135571,46652
378,-862.5069617581213,46738
379,-862.7715104997048,46817
380,-865.2531713201153,46929
381,-861.3456195933147,47015
382,-862.9636753234439,47108
383,-865.7465139768068,47254
384,-864.1293869803343,47330
385,-858.236629516593,47436
386,-857.0863965982555,47541
387,-860.3257983349753,47644
388,-841.1901436216131,47719
389,-860.7817963331643,48001
390,-866.1966118856234,48155
391,-865.9197385270169,48237
392,-881.7678718541436,48455
393,-876.4875976695962,48541
394,-878.0516180486782,48658
395,-878.369988137747,48750
396,-880.4511443802909,48857
397,-894.1200178028787,49083
398,-893.2443793719517,49205
399,-895.9924534530661,49328
400,-884.6074941848459,49414
401,-857.4638831045036,49589
402,-856.3847944588242,49698
403,-858.8851518508682,49808
404,-866.042468606469,49953
405,-871.8499767408009,50084
406,-868.3921796312746,50189
407,-871.7225127112131,50317
408,-871.8479623052184,50421
409,-869.2679646990005,50559
410,-854.787149651665,50652
411,-862.9288843885167,50849
412,-857.3444114394874,50931
413,-854.416367602869,51068
414,-853.337971134104,51243
415,-838.5523993230481,51423
416,-837.5946767790406,51534
417,-856.5107468153941,51808
418,-861.6446460755698,51939
419,-861.9518217056071,52035
420,-851.648252849443,52120
421,-852.5019546540851,52208
422,-853.1317466076803,52283
423,-849.9794334862117,52374
424,-846.0960582863626,52462
425,-853.8890984539291,52655
426,-854.3632116854083,52793
427,-837.4217908346509,52868
428,-837.8939664130645,52976
429,-836.4297042144992,53060
430,-834.7247727440684,53135
431,-820.9584900443443,53228
432,-829.1126138202774,53409
433,-825.161677551351,53481
434,-834.6441446647794,53672
435,-841.6437190938725,53873
436,-847.1103232015728,54022
437,-844.86666255658,54106
438,-840.178029798713,54258
439,-855.7302919919924,54492
440,-857.7957622675733,54596
441,-859.3029215990135,54720
442,-848.8594604604489,54828
443,-857.2018375593827,55036
444,-848.1970537351677,55118
445,-845.7250906704738,55196
446,-850.1059436581653,55354
447,-833.7393210732932,55468
448,-836.1863279811154,55574
449,-832.8223567307134,55653
450,-831.3176655017813,55738
451,-824.6164368716053,55823
452,-827.5844373234223,56016
