,0
103,-126.46210925702539
104,-108.67082723538955
105,-279.3228133966768
106,-89.78196775906383
107,-125.4220908090784
108,30.852631428705905
109,-216.59156732600493
110,88.87148386259865
111,-87.54160954844245
112,-57.06730868717415
113,11.93767244928901
114,24.61408778299483
115,-174.02887745401938
116,-36.451502792373645
117,-102.66235765569935
118,-89.54036268324073
119,31.443338963751415
120,-122.08111969447528
121,-106.73539226220942
122,-42.63525933837447
123,-82.91354673270166
124,-86.02284392077985
125,-11.60816904344587
126,-45.007894852397634
127,-84.62349282059378
128,-176.6906736547088
129,9.9009934160959
130,-226.341203567055
131,14.437598244667555
132,-225.8195155482613
133,-64.94153191398118
134,64.33058042998445
135,45.0754055087144
136,-227.23899142315346
137,142.20273503856674
138,-40.42980512930302
139,-47.8331065906908
140,-28.891629644848194
141,-61.71024214905594
142,-101.65444295260924
143,-213.2676383208546
144,-94.09801331369171
145,-77.08299659672345
146,-51.162945511121976
147,-89.42794906245543
148,-28.69219534162282
149,-9.056754668453621
150,-20.154928037761323
151,9.015845536255569
152,-102.59147557204605
153,-41.84821523713423
154,13.10333510902631
155,-74.83683689458337
156,-64.3119334853954
157,-95.94006537194886
158,36.94343312419548
159,160.00075132339987
160,-32.54454492471356
161,-9.260207609535797
162,-3.78981689890324
163,-76.848151716539
164,-2.3600514061185436
165,-63.077660418660074
166,-55.96769617718311
167,-122.31658412742141
168,-49.359753596520285
169,-147.83149521305228
170,-97.67157025165002
171,-95.11910236511328
172,18.375986302509773
173,82.57236713033065
174,-23.405163548107566
175,-30.757134664826964
176,60.48488430562641
177,-28.352867019445355
178,-89.45391653377355
179,-46.39559985835889
180,8.03780417159858
181,100.09295283410806
182,-7.726325092536043
183,28.743301539225996
184,-117.96356497678809
185,-17.165721643075173
186,-15.939063331003283
187,88.70446187460352
188,-52.14012755859562
189,-39.993793675127435
190,-59.97623082566236
191,-33.85357135895067
192,-158.94108140601753
193,-45.67621904267297
194,-69.7459775074542
195,15.767284714780516
196,-0.030666904738126277
197,-9.780872289772091
198,-179.72912923196026
199,-24.260147676833828
200,73.89105291981178
201,34.54492345863514
202,31.31777240624363
203,87.47184305030768
204,-28.080555317226285
205,9.165815444894761
206,-99.91229828848365
207,68.90662971567505
208,-267.0454380425034
209,74.19743078514811
210,-298.80124191574055
211,-9.881566439043127
212,-28.53463045020518
213,47.5579904722656
214,-173.2819128114599
215,52.35289631157957
216,-53.40183643561508
217,30.690121114297924
218,44.977075284199884
219,-28.471040404242423
220,-87.96625845348385
221,12.482087877177193
222,-62.78187437532982
223,-5.134897594905226
224,12.991713268071498
225,-83.67642665515581
226,-45.24725402304047
227,-19.516755599132694
228,54.70283850150127
229,23.540426331962678
230,75.73855661953029
231,-73.32899663997688
232,92.65495540902812
233,32.54089480693972
234,-23.83256026508986
235,21.490771657247393
236,-106.0229220207609
237,16.62958261550303
238,-40.30156502134111
239,-55.54589041658215
240,26.263223304673296
241,126.31454188037188
242,72.43581430348351
243,-203.1053631507046
244,-9.463834388203681
245,-95.07504372952128
246,-220.62420483090077
247,23.026567186159504
248,-84.09543693149085
249,103.62388673227
250,113.70190467470238
251,16.15817136159928
252,58.117543559230526
253,53.22870088337998
254,61.750777480827246
255,36.81473871911209
256,11.769756695691214
257,-19.14091331377039
258,-70.52521078575552
259,-61.60459993232502
260,-20.729733606243688
261,-34.16166245112231
262,-9.464116736093674
263,-39.020536344657096
264,-14.192006149284556
265,-6.228008192908429
266,53.40245117995477
267,12.539042312557807
268,137.66658921868432
269,161.13606246820584
270,67.02262545531703
271,-44.08578798542875
272,55.57430230224921
273,23.310906815211766
274,-22.887102793496062
275,-36.85866340443384
276,190.56420713524034
277,152.92331102750225
278,27.629747548691547
279,-197.21737038269936
280,-22.479656451965482
281,-37.46812790773369
282,-24.04560351067966
283,-19.940151572577335
284,-13.032959840462038
285,154.19200733842916
286,-33.538490332050834
287,54.51625700385079
288,-49.40354924944916
289,-133.87770959907996
290,-10.24287125355866
291,93.27089636313305
292,-44.48931460483952
293,54.05658295267244
294,78.03875322070141
295,-2.9291498335394386
296,-20.789814265253174
297,97.57144640108571
298,73.91047575216098
299,-309.6558420841468
300,-51.153176710733256
301,54.59054380994617
302,31.163336973609468
303,147.72534390747552
304,-21.558932554978135
305,-72.3503274454147
306,204.9632647707104
307,58.88527574915624
308,105.48223908511143
309,-17.113268696748026
310,-48.28677173802704
311,52.368326586486184
312,81.01757350970601
313,-3.667127873986633
314,-24.723360673629646
315,25.937230593829803
316,62.16300582038072
317,228.03078189522301
318,32.28557679176195
319,105.71986726181903
320,96.26061811504238
321,45.361313698313346
322,93.09511009838
323,21.992916622888018
324,28.23159276222337
325,272.2565107130781
326,188.64368569048298
327,-32.69982286643754
328,64.65605087550355
329,57.11283879442199
330,50.896992650212894
331,-118.30971634331455
332,116.70395311064317
333,94.62173629577389
334,39.68696995610959
335,-26.280322215986907
336,-7.946414508149833
337,42.867134844215
338,150.49404625916046
339,95.39949806038457
340,144.37943431183643
341,58.76151478773214
342,79.22792376812124
343,202.78140099346234
344,222.16836653677453
345,193.26019589231612
346,199.54641674829105
347,247.34126643918995
348,-11.613073607252776
349,77.1524228684128
350,290.58741492936053
351,179.61906281266812
352,215.39108358942562
353,9.720755361307965
354,201.0704666054902
355,-43.41966969388582
356,242.70598786753285
357,64.88671835965224
358,30.515920164141935
359,267.1991627699489
360,168.54061543225987
361,-12.348896396360548
362,1.8683573995112823
363,257.71559169620673
364,184.35981345464918
365,158.10725565067042
366,243.7933254656257
367,103.03666136010546
368,285.11822154489556
369,59.73249979432829
370,215.46443333615463
371,214.56216523316226
372,-47.46574570725919
373,32.245702611767875
374,193.25428139155179
375,264.0228313276169
376,26.16779441877578
